author,desc,genre,img,release,score,time,title
Lee Unkrich,"Woody le cowboy, Buzz l'Eclair et les autres jouets se retrouvent confrontés à ce qui devait bien arriver un jour : le départ d'Andy pour l'université...","/,Animation,Aventure,Fantastique,De,Avec",https://fr.web.img2.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/medias/nmedia/18/63/96/06/19415330.jpg,,"4,7",1h 40min,Toy Story 3
Irvin Kershner,"Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...","/,Science Fiction,Aventure,Date de reprise,9 avril 1997,De,Avec",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/44/28/empire.jpg,9 avril 1997,"5,0",2h 04min,Star Wars : Episode V - L'Empire contre-attaque
Isao Takahata,"Kaguya, « la princesse lumineuse », est un petit être découvert dans la tige d’un bambou par un vieux paysan. La considérant comme un don du ciel, il l’élève avec sa femme, et très vite l’enfant devient une magnifique jeune fille. De la campagne lointaine jusqu’à la grande capitale, sa fascinante beauté suscitera l’engouement auprès de tous ceux qui la rencontrent et elle sera convoitée par cinq nobles princes qui devront relever d’impossibles défis dans l’espoir d’obtenir sa main. Mais le temps venu, elle devra affronter son destin…","/,Animation,Drame,Fantastique,De,Avec",https://fr.web.img4.acsta.net/c_310_420/pictures/14/04/25/12/27/122290.jpg,,"4,5",2h 17min,Le Conte de la princesse Kaguya
Ingmar Bergman,"Dans cette nouvelle demeure, il règne une atmosphère sévère et ascétique. Fanny et Alexandre sont soumis à son autorité impitoyable. Edvard Vergerus est sec de cœur, aveuglé par ses principes, et par conséquent incapable d’empathie... Quel va être leur quotidien; quel drame va-t-il se dénouer ?","/,Drame,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,4",2h 26min,Fanny et Alexandre - Partie 2
Henri-Georges Clouzot,"Dominique Marceau, une jeune fille provocante, est accusée du meurtre de son ancien amant Gilbert Tellier. Au cours du procès, l'histoire de sa relation avec la victime est reconstituée.","/,Drame,Date de reprise,8 novembre 2017,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",8 novembre 2017,"4,9",2h 07min,La Vérité
Jacques Becker,"Cinq prisonniers, enfermés à La Santé, vont tenter de s'évader en creusant un tunnel.","/,Drame,Thriller,Date de reprise,19 avril 2017,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",19 avril 2017,"4,4",2h 12min,Le Trou
David Lynch,"Londres, 1884. Le chirurgien Frederick Treves découvre un homme complètement défiguré et difforme, devenu une attraction de foire. John Merrick, "" le monstre "", doit son nom de Elephant Man au terrible accident que subit sa mère.","/,Drame,Biopic,Date de reprise,22 juin 2020,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",22 juin 2020,"4,8",2h 05min,Elephant Man
Xavier Dolan,"Une veuve mono-parentale hérite de la garde de son fils, un adolescent profondément turbulent. Ensemble, ils tentent de joindre les deux bouts, notamment grâce à l’aide inattendue de la mystérieuse voisine d’en face, Kyla.","/,Drame,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,3",2h 19min,Mommy
David Fincher,John Doe a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres bases sur les sept pechés capitaux.,"/,Policier,Thriller,Drame,De,Avec",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/91/33/19255605.jpg,,"3,6",2h 10min,Seven
Charles Chaplin,"Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l’extermination du peuple juif. Au cours d’une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d’Hynkel...","/,Comédie,Date de reprise,10 juillet 2019,De,Avec,Charles Chaplin","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",10 juillet 2019,"5,0",2h 05min,Le Dictateur
Bong Joon Ho,"Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable...","/,Thriller,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,8",2h 12min,Parasite
Martin Scorsese,"Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero...","/,Drame,Policier,Date de reprise,7 juin 2023,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",7 juin 2023,"5,0",2h 25min,Les Affranchis
Makoto Shinkai,"Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis.","/,Animation,Fantastique,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0",1h 50min,Your Name
,"Le narrateur, vit seul, travaille seul, dort seul, comme beaucoup d'autres personnes seules qui connaissent la misère morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin dirigé par Tyler Durden, anarchiste entre gourou et philosophe.","/,Thriller,Drame,Date de reprise,15 mai 2019,De,David Fincher,Avec,Brad Pitt","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",15 mai 2019,"2,7",2h 19min,Fight Club
Stanley Kubrick,"Grandeur et décadence d'un hobereau au XVIIIe siècle, d'abord engagé dans l'armée britannique, puis compagnon d'une comtesse, jeune veuve éplorée.","/,Aventure,Drame,Date de reprise,19 décembre 2007,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",19 décembre 2007,"5,0",3h 07min,Barry Lyndon
Tim Burton,"Edward Scissorhands n'est pas un garcon ordinaire. Création d'un inventeur, il a recu un coeur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son oeuvre...","/,Fantastique,Romance,Drame,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,4",1h 45min,Edward aux mains d'argent
Akira Kurosawa,"Atteint d'un cancer, Watanabe, chef de service du génie civil, décide de réaliser le projet qu'il avait tout d'abord repoussé, celui d'assainir un terrain vague du quartier de Hureocho pour que les enfants puissent jouer dans un véritable jardin.","/,Drame,Date de reprise,25 janvier 2017,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",25 janvier 2017,"4,4",2h 23min,Vivre
Lee Unkrich,"Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz.","/,Animation,Fantastique,Famille,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,1",1h 45min,Coco
Francis Ford Coppola,"Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd le soutien de son lieutenant Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable...","/,Policier,Drame,Date de reprise,18 septembre 2013,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",18 septembre 2013,"4,7",3h 20min,"Le Parrain, 2e partie"
Christopher Nolan,"Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...","/,Science Fiction,Thriller,Date de reprise,7 juin 2023,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",7 juin 2023,"4,1",2h 28min,Inception
Sergio Leone,Un mystérieux desperado pourchasse sans relâche un dangereux criminel.,"/,Western,Date de reprise,10 octobre 2018,De,Avec",https://fr.web.img3.acsta.net/c_310_420/pictures/16/07/19/17/05/434841.jpg,10 octobre 2018,"4,0",2h 55min,Il était une fois dans l'Ouest
Quentin Tarantino,L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.,"/,Policier,Drame,De,Avec",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/02/52/18846059.jpg,,"4,4",2h 29min,Pulp Fiction
,"Pendant la Guerre de Sécession, Tuco, Joe et Setenza, trois hommes préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Chacun a besoin de l'autre...","/,Western,Date de reprise,5 novembre 2014,De,Sergio Leone,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",5 novembre 2014,"4,1",3h 00min,"Le Bon, la brute et le truand"
,"Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.","/,Drame,Policier,Date de reprise,6 mai 2015,De,Sergio Leone,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",6 mai 2015,"4,9",3h 49min,Il était une fois en Amérique
Christopher Nolan,Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire.,"/,Science Fiction,Drame,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"3,8",2h 49min,Interstellar
Peter Farrelly,"En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts.","/,Drame,Biopic,De,Avec",https://fr.web.img6.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/pictures/19/02/25/17/06/0818764.jpg,,"4,0",2h 10min,Green Book : Sur les routes du sud
Tony Kaye,"Derek veut venger la mort de son père, abattu par un dealer noir, et épouse les thèses racistes d'un groupuscule de militants d'extrême droite. Ces théories le mèneront à commettre un double meurtre...","/,Drame,Policier,De,Avec",https://fr.web.img6.acsta.net/c_310_420/medias/03/26/20/032620_af.jpg,,"2,8",1h 59min,American History X
Kenji Mizoguchi,"Fille d’une bonne famille aristocratique, introduite à la cour impériale de Kyoto, O-Harru tombe amoureuse d’un homme d’une classe sociale inférieure. Dès lors, sa vie ne sera que tristesse et humiliation. Ce magnifique mélodrame est un portrait de femme bouleversant.","/,Drame,Date de reprise,16 mars 2016,De,Avec",https://fr.web.img6.acsta.net/c_310_420/pictures/16/04/04/16/29/264676.jpg,16 mars 2016,"5,0",2h 16min,"La Vie d'O'Haru, Femme Galante"
Mamoru Hosoda,"Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants...","/,Animation,Fantastique,De,Avec",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/90/30/39/20090421.jpg,,"4,1",1h 57min,"Les Enfants Loups, Ame & Yuki"
Eric Toledano,"La rencontre improbable, touchante et drôle entre un riche aristocrate, tétraplégique depuis un accident de parapente, et un jeune de banlieue engagé par hasard pour être son aide à domicile...","/,Drame,Comédie,Biopic,De,Avec",https://fr.web.img2.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/medias/nmedia/18/82/69/17/19806656.jpg,,"3,7",1h 52min,Intouchables
Ridley Scott,"Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du ...","/,Action,Aventure,Historique,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,3",2h 35min,Gladiator
,Le parcours d'un chasseur de prime allemand et d'un homme noir pour retrouver la femme de ce dernier retenue en esclavage par le propriétaire d'une plantation...,"/,Western,De,Quentin Tarantino,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,6",2h 44min,Django Unchained
Peter Jackson,"Frodon le Hobbit hérite de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu. Commence alors un vaste périple visant à la destruction de l'objet.","/,Fantastique,Aventure,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"3,7",2h 58min,Le Seigneur des anneaux : la communauté de l'anneau
,"Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...","/,Fantastique,Aventure,De,Peter Jackson,Avec,Elijah Wood,Sean Astin","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,0",2h 59min,Le Seigneur des anneaux : les deux tours
,"Walt Kowalski est un ancien de la guerre de Corée, un homme inflexible, amer et pétri de préjugés surannés. Hormis sa chienne Daisy, il ne fait confiance qu'à son M-1, toujours propre, toujours prêt à l'usage...","/,Drame,Date de reprise,7 juin 2023,De,Clint Eastwood,Avec,Clint Eastwood","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",7 juin 2023,"4,7",1h 56min,Gran Torino
Robert Zemeckis,"Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.","/,Science Fiction,Aventure,Comédie,De,Avec",https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/22/15/00/2862661.jpg,,"3,6",1h 56min,Retour vers le futur
Joaquim Dos Santos,"Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d'en protéger l'existence.","/,Animation,Action,Fantastique,De,Justin Thompson,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,1",2h 21min,Spider-Man : Across The Spider-Verse
Charles Chaplin,"Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…","/,Romance,Comédie dramatique,Comédie,Date de reprise,10 juillet 2019,De,Avec,Charles Chaplin","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",10 juillet 2019,"4,6",1h 27min,Les Temps modernes
Roberto Benigni,"En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...","/,Comédie dramatique,Drame,Comédie,De,Avec,Roberto Benigni","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"3,7",1h 57min,La Vie est belle
Alfred Hitchcock,Une jeune femme en fuite trouve refuge dans un motel isolé...,"/,Thriller,Epouvante-horreur,Date de reprise,6 avril 2022,De,Avec",https://fr.web.img6.acsta.net/c_310_420/pictures/22/04/06/14/34/3532106.jpg,6 avril 2022,"4,5",1h 49min,Psychose
George Lucas,"Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle.","/,Science Fiction,Aventure,Date de reprise,12 mars 1997,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",12 mars 1997,"4,8",2h 01min,Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles)
Richard Marquand,"L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier...","/,Science Fiction,Aventure,Date de reprise,23 avril 1997,De,Avec,Mark Hamill,Harrison Ford,Carrie Fisher","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",23 avril 1997,"3,0",2h 13min,Star Wars : Episode VI - Le Retour du Jedi
Hayao Miyazaki,"Chihiro, une fillette de 10 ans, est en route vers sa nouvelle demeure en compagnie de ses parents. Au cours du voyage, la famille fait une halte dans un parc à thème qui leur paraît délabré. Lors de la visite, les parents s’arrêtent dans un des bâtiments pour déguster quelques mets très appétissants, apparus comme par enchantement. Hélas cette nourriture les transforme en porcs. Prise de panique, Chihiro s’enfuit et se retrouve seule dans cet univers fantasmagorique ; elle rencontre alors l’énigmatique Haku, son seul allié dans cette terrible épreuve...","/,Animation,Aventure,Fantastique,De,Avec","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,8",2h 05min,Le Voyage de Chihiro
